Name,Nationality,Occupation,Affiliation,Ajah,Build,Clan,Current.status,Date.of.birth,Date.of.death,Eye.color,First.appeared,First.mentioned,Gender,Hair.color,Height,Last.appeared,Last.mentioned,Race,Rank,Sept,Society,Title,Weight
Aghan,Saldaean,Soldier,Davram Bashere,NA,NA,NA,Alive,NA,NA,NA,KOD:27,NA,Male,NA,NA,KOD:27,NA,NA,NA,NA,NA,NA,NA
Aginor,NA,NA,NA,NA,NA,NA,Dead,Age of Legends,998 NE,NA,TEOTW:50,TEOTW:1,Male,NA,Tall,TEOTW:52,AMOL:18,NA,Chosen,NA,NA,NA,NA
Agni Neres,Altaran,Ship captain,NA,NA,Bony,NA,Alive,NA,NA,NA,TFOH:48,NA,Male,NA,Tall,TFOH:49,NA,NA,NA,NA,NA,NA,NA
Ailron Rovere Lukan,Amadician,NA,NA,NA,Delicate,NA,Dead,NA,1000 NE,NA,TFOH:16,LOC:Prologue,Male,"Dark, wavy, receding",NA,LOC:Prologue,KOD:12,NA,King,NA,NA,"King and Defender of Amadicia, Guardian of the Southern Gate",NA
Ajimbura,Seanchan,Servant,NA,NA,NA,NA,Alive,NA,NA,Blue,COT:4,NA,Male,NA,NA,KOD:36,NA,NA,So'jhin,NA,NA,NA,NA
al'Akir Mandragoran,Malkieri,NA,NA,NA,NA,NA,Dead,NA,NA,NA,NA,NS:15,Male,NA,NA,NA,AMOL:6,NA,King,NA,NA,King of Malkier,NA
al'Lan Mandragoran,Malkieri,Warder,NA,NA,Muscular,NA,Alive,953 NE,NA,Blue,NS:1,NA,Male,"Dark, graying","2 span, 1 foot, 7 inches / 6 feet 5",AMOL:Epilogue,NA,NA,NA,NA,NA,"Lord of the Seven Towers, Lord of the Lakes, True Blade of Malkier, Defender of the Wall of First Fires, Bearer of the Sword of the Thousand Lakes. Dai Shan, Uncrowned King of Malkier, Aan'allein",NA
Alaabar Harnesh,Murandian,Soldier,Children of the Light,NA,NA,NA,Alive,NA,NA,NA,TOM:Prologue,NA,Male,Bald,Short,TOM:35,NA,NA,Lord Captain,NA,NA,NA,NA
Alalved,Aiel,Clan chief,NA,NA,NA,Tomanelle,Unknown,NA,NA,NA,NA,TOM:49,Male,NA,Tall,NA,NA,NA,NA,Unknown sept,NA,NA,NA
Alarch,Aiel,NA,NA,NA,NA,NA,Foreseen,NA,NA,NA,TOM:49,NA,Male,Dark,NA,TOM:49,NA,NA,NA,NA,NA,Child of the Dragon,NA
Aldan,Unknown nationality,Soldier,Gareth Bryne,NA,NA,NA,Alive,NA,NA,NA,NA,TGS:24,Male,NA,NA,NA,TGS:24,NA,Captain,NA,NA,NA,NA
Aldecain Damodred,Cairhienin,NA,NA,NA,NA,NA,Dead,NA,978 NE,NA,NA,NS:5,Male,NA,NA,NA,NS:5,NA,NA,NA,NA,Lord,NA
Aldin,Amadician,Gai'shain,Perrin Aybara,NA,Square-shouldered,NA,Alive,NA,NA,NA,KOD:30,NA,Male,NA,Tall,TOM:34,NA,NA,NA,NA,NA,NA,NA
Aldin Miheres,Unknown nationality,Mercenary,Arymilla Marne,NA,NA,NA,Dead,NA,1000 NE,NA,KOD:13,NA,Male,NA,NA,KOD:13,NA,NA,NA,NA,NA,NA,NA
Aldred Gomaisen,Cairhienin,Mercenary,Elayne Trakand,NA,Slender,NA,Dead,NA,1000 NE,NA,KOD:16,NA,Male,Front shaved,Short,KOD:32,KOD:35,NA,Captain,NA,NA,NA,NA
Aldrin Caldevwin,Cairhienin,Soldier,NA,NA,NA,NA,Alive,NA,NA,NA,TGH:21,NA,Male,"Dark, shaved, powdered",NA,TGH:21,NA,NA,Captain,NA,NA,NA,NA
Aleshin Talvaen,Ghealdanin,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Male,NA,NA,NA,NA,NA,General,NA,NA,Lord,NA
Algarin Pendaloan,Tairen,Asha'man,NA,NA,NA,NA,Alive,NA,NA,NA,COT:23,NA,Male,Thinning,NA,AMOL:41,NA,NA,Asha'man,NA,NA,Lord,NA
Algwyn,Seanchan,NA,NA,NA,NA,NA,Dead,NA,NA,NA,NA,WH:14,Male,NA,NA,NA,WH:14,NA,Emperor,NA,NA,Emperor of Seanchan,NA
Alhandrin Torelvin,Cairhienin,Soldier,Band of the Red Hand,NA,NA,NA,Alive,NA,NA,NA,NA,LOC:5,Male,NA,NA,NA,LOC:5,NA,Officer,NA,NA,NA,NA
Alijha,Aiel,NA,NA,NA,NA,Da'shain Aiel,Dead,NA,NA,NA,TSR:25,NA,Male,NA,NA,TSR:25,NA,NA,NA,NA,NA,NA,NA
Alin,Domani,Soldier,Dragon Reborn,NA,NA,NA,Alive,NA,NA,NA,NA,TOM:21,Male,NA,NA,NA,TOM:21,NA,NA,NA,NA,NA,NA
Alin Seroku,Kandori,Soldier,Kandor,NA,NA,NA,Alive,NA,NA,NA,NS:15,NA,Male,Graying,NA,NS:15,NA,NA,NA,NA,NA,NA,NA
Alix,Unknown nationality,Warder,White Tower,NA,NA,NA,Presumed alive,NA,NA,NA,NA,AMOL:37,Male,NA,NA,NA,AMOL:37,NA,NA,NA,NA,Gaidin,NA
Allin,Andoran,Soldier,NA,NA,NA,NA,Alive,NA,NA,NA,AMOL:37,NA,Male,NA,NA,AMOL:37,NA,NA,NA,NA,NA,NA,NA
Almen Bunt,Andoran,Farmer,NA,NA,NA,NA,Alive,NA,NA,NA,TEOTW:34,NA,Male,NA,NA,TOM:1,NA,NA,NA,NA,NA,NA,NA
Almurat Mor,Seanchan,Seeker for Truth,NA,NA,Slender,NA,Alive,NA,NA,Blue,TSR:38,NA,Male,Pale yellow,NA,COT:4,KOD:36,NA,NA,NA,NA,NA,NA
Alpert Mull,Andoran,Farmer,NA,NA,Solid,NA,Alive,NA,NA,NA,TEOTW:33,NA,Male,NA,NA,TOM:1,NA,NA,NA,NA,NA,NA,NA
Alric,Unknown nationality,Warder,White Tower,NA,Slender,NA,Dead,NA,999 NE,NA,TSR:47,TGH:2,Male,Gray,Tall,TSR:47,TGS:8,NA,NA,NA,NA,Gaidin,NA
Alrom,Unknown nationality,Historian,NA,NA,NA,NA,Dead,NA,NA,NA,NA,TOM:15,Male,NA,NA,NA,TOM:15,NA,NA,NA,NA,NA,NA
Alsalam Saeed Almadar,Domani,NA,NA,NA,NA,NA,Dead,NA,1000 NE,NA,TOM:32,LOC:6,Male,"Gray, shoulder-length",NA,AMOL:24,AMOL:Epilogue,NA,King,NA,NA,"Lord of Almadar, High Seat of House Almadar",NA
Alvon,Amadician,Gai'shain,Faile Bashere,NA,Stocky,NA,Alive,NA,NA,NA,KOD:5,NA,Male,NA,Short,KOD:28,NA,NA,NA,NA,NA,NA,NA
Alwyn al'Van,Andoran,bootmaker,Two Rivers,NA,NA,NA,Alive,NA,NA,NA,NA,TGH:2,Male,NA,NA,NA,TGH:2,NA,NA,NA,NA,NA,NA
Amel din Monaga Stone Anchor,Atha'an Miere,NA,Atha'an Miere,NA,NA,NA,Alive,NA,NA,NA,NA,KOD:22,Male,NA,NA,NA,KOD:22,NA,Swordmaster,NA,NA,NA,NA
Amenar Shumada,Seanchan,NA,NA,NA,NA,NA,Alive,NA,NA,NA,TGS:19,NA,Male,NA,NA,TGS:19,NA,NA,NA,NA,NA,NA,NA
Amondrid Osiellin,Cairhienin,NA,Dragon Reborn,NA,NA,NA,Alive,NA,NA,NA,TPOD:21,NA,Male,NA,NA,TOM:50,NA,NA,NA,NA,NA,Lord,NA
Ander Corl,Cairhienin,Bootmaker,NA,NA,NA,NA,Alive,NA,NA,NA,TFOH:20,NA,Male,NA,NA,TFOH:20,NA,NA,NA,NA,NA,NA,NA
Ander Tol,Cairhienin,Farmer,NA,NA,NA,NA,Alive,NA,NA,NA,ACOS:36,NA,Male,NA,NA,TPOD:21,NA,NA,NA,NA,NA,NA,NA
Andere,Malkieri,NA,Lan Mandragoran,NA,Lean,NA,Alive,NA,NA,NA,NS:15,NA,Male,Long,NA,AMOL:37,NA,NA,NA,NA,NA,NA,NA
Andric,Taraboner,NA,Tarabon,NA,NA,NA,Dead,NA,1000 NE,NA,TSR:38,NA,Male,Graying,NA,TSR:38,ACOS:26,NA,King,NA,NA,King of Tarabon,NA
Andris,Illianer,NA,Sammael,NA,NA,NA,Dead,NA,999 NE,Dark,LOC:16,NA,Male,NA,NA,LOC:16,LOC:23,NA,NA,NA,NA,NA,NA
Andro,Unknown nationality,Warder,White Tower,NA,Lean,NA,Dead,NA,979 NE,NA,NS:5,NA,Male,NA,NA,NS:5,NA,NA,NA,NA,NA,Gaidin,NA
Androl Genhald,Taraboner,Asha'man,Logain Ablar,NA,Square,NA,Alive,NA,NA,NA,WH:Prologue,NA,Male,NA,NA,AMOL:48,NA,NA,Asha'man,NA,NA,Gaidin,NA
Anghar,Seanchan,Soldier,NA,NA,NA,NA,Alive,NA,NA,NA,TPOD:23,NA,Male,NA,NA,TPOD:23,NA,NA,NA,NA,NA,NA,NA
Anjen,Unknown nationality,Warder,NA,NA,NA,NA,Dead,NA,985 NE,NA,NA,LOC:30,Male,NA,NA,NA,LOC:30,NA,NA,NA,NA,Gaidin,NA
Ankaer,Domani,Soldier,Dragon Reborn,NA,Lanky,NA,Dead,NA,1000 NE,NA,COT:Prologue,NA,Male,NA,NA,TOM:21,TOM:32,NA,Lord,NA,NA,Lord,NA
Anselan,Unknown nationality,Warder,White Tower,NA,NA,NA,Dead,NA,NA,NA,NA,TFOH:24,Male,NA,NA,NA,TFOH:36,NA,NA,NA,NA,Gaidin,NA
Antail,NA,Asha'man,Rand al'Thor,NA,NA,NA,Alive,NA,NA,NA,TOM:24,NA,Male,NA,NA,AMOL:18,NA,NA,Asha'man,NA,NA,NA,NA
Antol,Kandori,NA,Kandor,NA,NA,NA,Alive,964 NE,NA,NA,NA,NS:25,Male,NA,Tall,AMOL:7,NA,NA,NA,NA,NA,Prince,NA
Ara,Andoran,Attendant,NA,NA,NA,NA,Alive,NA,NA,NA,TEOTW:14,NA,Male,Dark,NA,TEOTW:14,NA,NA,NA,NA,NA,NA,Slight
Aracome,Tairen,NA,The Dragon Reborn,NA,Slender,NA,Dead,NA,1000 NE,NA,TFOH:46,TSR:21,Male,Graying,NA,TPOD:23,NA,NA,NA,NA,NA,High Lord of Tear,NA
Aram,Tuatha'an,NA,Masema Dagar,NA,Slender,NA,Dead,NA,1000 NE,Dark,TEOTW:25,NA,Male,NA,NA,KOD:30,TOM:40,NA,NA,NA,NA,NA,NA
Aranvor Naldwinn,Andoran,NA,Queen's Guard,NA,NA,NA,Dead,NA,978 NE,NA,NA,TWORJTWOT,Male,NA,NA,NA,NA,NA,Captain-General,NA,NA,NA,NA
Arel Malevin,Cairhienin,Asha'man,NA,NA,Wide,NA,Alive,NA,NA,NA,KOD:20,NA,Male,NA,Short,AMOL:37,NA,NA,Asha'man,NA,NA,NA,NA
Arendor Haevin,Andoran,NA,House Trakand,NA,NA,NA,Alive,NA,NA,NA,NA,COT:13,Male,NA,NA,NA,COT:13,NA,NA,NA,NA,Lord,NA
Arent,NA,NA,NA,NA,NA,NA,Alive,NA,NA,NA,NA,TEOTW:36,Male,NA,NA,NA,AMOL:16,Ogier,Elder,NA,NA,Elder,NA
Argirin Darelos,Illianer,NA,Council of Nine,NA,NA,NA,Alive,NA,NA,NA,CCG,NA,Male,NA,NA,CCG,NA,NA,NA,NA,NA,Lord,NA
Aried,NA,NA,NA,NA,NA,NA,Dead,NA,NA,NA,NA,LOC:50,Male,NA,NA,NA,LOC:50,Ogier,NA,NA,NA,NA,NA
Arin,Andoran,Watchman,NA,NA,NA,NA,Alive,NA,NA,NA,TEOTW:17,NA,Male,NA,NA,TEOTW:17,NA,NA,NA,NA,NA,NA,NA
Arinvar,Cairhienin,Warder,White Tower,NA,Slender,NA,Alive,NA,NA,NA,TFOH:27,NA,Male,Graying,Short,KOD:1,TGS:43,NA,NA,NA,NA,Gaidin,NA
Arlen Nalaam,Domani,Asha'man,Black Tower,NA,NA,NA,Dead,971 NE,NA,NA,TPOD:23,NA,Male,NA,NA,AMOL:4,AMOL:8,NA,Soldier (Asha'man),NA,NA,NA,NA
Arnin,Altaran,Thug,Darkfriend,NA,Muscular,NA,Alive,NA,NA,Beady,ACOS:17,NA,Male,Black,NA,ACOS:17,NA,NA,NA,NA,NA,NA,NA
Artur Paendrag Tanreall,Shandalle,NA,NA,NA,NA,NA,Bound to the Wheel,FY 912,FY 994,"Dark, Deep Set",TGH:47,NS:1,Male,Long Black,Tall,AMOL:39,NA,NA,King,NA,NA,High King,NA
Arwin,Unknown nationality,NA,Younglings,NA,NA,NA,Alive,NA,NA,NA,LOC:Prologue,NA,Male,NA,NA,LOC:Prologue,NA,NA,NA,NA,NA,NA,NA
Asan Sandair,Cairhienin,Soldier,NA,NA,NA,NA,Alive,NA,NA,NA,TGH:25,NA,Male,Balding,NA,TGH:25,NA,NA,NA,NA,NA,NA,NA
Asidim Faisar,Unknown nationality,Soldier,Children of the Light,NA,NA,NA,Alive,NA,NA,NA,NA,LOC:31,Male,NA,NA,NA,ACOS:Prologue,NA,NA,NA,NA,NA,NA
Asmodean,NA,NA,NA,NA,NA,NA,Dead,Age of Legends,999 NE,Dark,TSR:36,TSR:6,Male,Dark,Tall,TFOH:56,AMOL:37,NA,Chosen,NA,NA,NA,NA
Assid Bakuun,Seanchan,Soldier,Ever Victorious Army,NA,NA,NA,Unknown,NA,NA,NA,TPOD:22,NA,Male,NA,NA,TPOD:22,NA,NA,Captain,NA,NA,NA,NA
Astoril Damara,Tairen,Lord,NA,NA,NA,NA,Alive,NA,NA,"Sharp, Dark",KOD:21,WH:6,Male,"Long, Snow-white, Thinning",NA,KOD:21,NA,NA,NA,NA,NA,High Lord of Tear,NA
Atal Mishraile,Unknown nationality,Dreadlord,The Shadow,NA,NA,NA,Alive,NA,NA,Blue,COT:Prologue,WH:Prologue,Male,"Golden, long",Tall,AMOL:42,NA,NA,Asha'man,NA,NA,NA,NA
Athan Chandin,Andoran,Soldier,Two Rivers,NA,NA,NA,Alive,NA,NA,NA,KOD:26,NA,Male,NA,NA,KOD:26,NA,NA,NA,NA,NA,NA,NA
Athan Dearn,Andoran,NA,Two Rivers,NA,Fat,NA,Alive,NA,NA,NA,TSR:56,NA,Male,NA,NA,TSR:56,NA,NA,NA,NA,NA,NA,NA
Aubrem Pensenor,Andoran,NA,House Trakand,NA,Lean,NA,Alive,NA,NA,NA,KOD:17,NA,Male,"Bald, white fringe",NA,KOD:17,NA,NA,NA,NA,NA,Lord,NA
Avar Hachami,Saldaean,Warder,White Tower,NA,NA,NA,Alive,NA,NA,Dark,TFOH:50,NA,Male,NA,NA,KOD:1,NA,NA,NA,NA,NA,Gaidin,NA
Avi Shendar,Amadician,NA,NA,NA,NA,NA,Alive,NA,NA,NA,TFOH:10,NA,Male,NA,NA,TFOH:10,NA,NA,NA,NA,NA,NA,NA
Avin,Andoran,Gatekeeper,NA,NA,NA,NA,Alive,NA,NA,NA,TEOTW:13,NA,Male,NA,NA,TEOTW:13,NA,NA,NA,NA,NA,NA,NA
Awlsten,NA,Asha'man,Rand al'Thor,NA,NA,NA,Alive,NA,NA,NA,AMOL:24,NA,Male,NA,NA,AMOL:24,NA,NA,Asha'man,NA,NA,NA,NA
Azereos,Illianer,Merchant,NA,NA,NA,NA,Alive,NA,NA,NA,WH:32,NA,Male,NA,NA,WH:32,NA,NA,NA,NA,NA,NA,NA
Azi al'Thone,Andoran,Soldier,Perrin Aybara,NA,NA,NA,Alive,NA,NA,NA,TOM:10,TOM:Prologue,Male,NA,NA,TOM:53,NA,NA,NA,NA,NA,NA,NA
Azil Mareed,Domani,Soldier,White Tower,NA,NA,NA,Unknown (Presumed Dead),NA,NA,NA,NA,NS:2,Male,NA,NA,NA,NS:2,NA,High Captain,NA,NA,High Captain of the Tower Guards,NA
Bael,Aiel,Clan chief,Car'a'carn,NA,NA,Goshien,Alive,NA,NA,NA,TSR:57,TSR:49,Male,"Red, graying",Very tall,AMOL:6,AMOL:26,NA,NA,NA,NA,NA,NA
Baelder,Aiel,NA,NA,NA,NA,Unknown,Alive,NA,NA,NA,NA,NA,Male,NA,NA,NA,NA,NA,NA,Unknown,Aethan Dor,NA,NA
Bakayar Mishima,Seanchan,Soldier,NA,NA,NA,NA,Dead,NA,1000 NE,NA,KOD:4,NA,Male,Yellow,NA,TGS:Prologue,NA,NA,Captain,NA,NA,NA,NA
Bakh,Unknown nationality,NA,NA,NA,NA,NA,Dead,NA,1000 NE,NA,NA,AMOL:9,Male,NA,NA,NA,AMOL:9,NA,NA,NA,NA,NA,NA
Balat,Domani,Entertainer,Valan Luca,NA,Lean,NA,NA,NA,NA,NA,KOD:8,NA,Male,NA,NA,NA,KOD:11,NA,NA,NA,NA,NA,NA
Baldhere,Kandori,NA,Kandor,NA,Slender,NA,Alive,NA,NA,NA,TPOD:Prologue,NA,Male,White at temples,NA,AMOL:18,NA,NA,General,NA,NA,Swordbearer,NA
Balinor,Unknown nationality,Warder,White Tower,NA,NA,NA,Dead,NA,NA,NA,NA,LOC:11,Male,NA,NA,NA,LOC:11,NA,NA,NA,NA,Gaidin,NA
Ballin Elamri,Illianer,NA,Council of Nine,NA,NA,NA,Alive,NA,NA,NA,CCG,NA,Male,NA,NA,CCG,NA,NA,NA,NA,NA,Lord,NA
Balthamel,NA,NA,NA,NA,NA,NA,Dead,Age of Legends,998 NE,NA,TEOTW:50,TEOTW:42,Male,NA,NA,TEOTW:50,ACOS:8,NA,Chosen,NA,NA,NA,NA
Balwen Mayel,Aridholin,NA,NA,NA,NA,NA,Dead,NA,NA,NA,NA,TEOTW:19,Male,NA,NA,NA,TEOTW:19,NA,King,NA,NA,King of Aridhol,NA
Ban al'Seen,Andoran,Soldier,Two Rivers,NA,NA,NA,Alive,NA,NA,NA,TSR:33,NA,Male,Dark,NA,AMOL:15,NA,NA,NA,NA,NA,NA,NA
Banas,Ghealdanin,NA,NA,NA,NA,NA,Alive,NA,NA,NA,NA,TDR:8,Male,NA,NA,NA,TDR:8,NA,NA,NA,NA,NA,NA
Bandry Crawe,Andoran,NA,Two Rivers,NA,NA,NA,Alive,NA,NA,NA,COT:5,TEOTW:4,Male,NA,NA,COT:5,COT:27,NA,NA,NA,NA,NA,NA
Bar Dowtry,Andoran,Cabinetmaker,Two Rivers,NA,NA,NA,Alive,NA,NA,NA,KOD:29,NA,Male,NA,NA,KOD:29,NA,NA,NA,NA,NA,NA,NA
Baran,Tairen,NA,NA,NA,NA,NA,Dead,NA,999 NE,NA,TSR:2,NA,Male,NA,NA,TSR:2,TFOH:30,NA,NA,NA,NA,Lord,NA
Barel Layden,Andoran,NA,House Trakand,NA,Lanky,NA,Alive,NA,NA,NA,KOD:17,LOC:28,Male,NA,NA,KOD:32,NA,NA,NA,NA,NA,Lord,NA
Barettal,Domani,Soldier,Dragon Reborn,NA,NA,NA,Alive,NA,NA,NA,TOM:21,NA,Male,NA,NA,TOM:21,NA,NA,NA,NA,NA,NA,NA
Bari,Unknown nationality,Entertainer,Valan Luca,NA,NA,NA,Alive,NA,NA,NA,TFOH:17,NA,Male,NA,NA,TFOH:48,NA,NA,NA,NA,NA,NA,NA
Bari,Andoran,Servant,Andor,NA,NA,NA,Alive,NA,NA,NA,LOC:19,NA,Male,NA,NA,LOC:20,NA,NA,NA,NA,NA,NA,NA
Barim Halle,Andoran,NA,Gareth Bryne,NA,Wiry,NA,Alive,NA,NA,NA,TFOH:1,NA,Male,NA,NA,TFOH:28,NA,NA,NA,NA,NA,NA,NA
Barin Madwen,Cairhienin,Innkeeper,NA,NA,NA,NA,Dead,NA,NA,NA,NA,TGH:21,Male,NA,NA,NA,TGH:21,NA,NA,NA,NA,NA,NA
Baris,Altaran,NA,NA,NA,NA,NA,Alive,NA,NA,NA,LOC:52,NA,Male,NA,NA,LOC:52,LOC:52,NA,NA,NA,NA,NA,NA
Barit Chavana,Atha'an Miere,Entertainer,Valan Luca,NA,Compact,NA,Alive,NA,NA,NA,TFOH:17,NA,Male,NA,Short,COT:29,NA,NA,NA,NA,NA,NA,NA
Barlden,Andoran,Mayor,Hinderstap,NA,Sturdy,NA,Alive,NA,NA,NA,TGS:27,NA,Male,Black,NA,TGS:28,NA,NA,NA,NA,NA,NA,NA
Barlett,Unknown nationality,Soldier,Children of the Light,NA,Lean,NA,Alive,NA,NA,NA,TOM:Prologue,NA,Male,NA,NA,TOM:Prologue,NA,NA,Scout leader,NA,NA,NA,NA
Barmanes Nolaisen,Cairhienin,NA,Cha Faile,NA,NA,NA,Alive,NA,NA,NA,KOD:12,NA,Male,NA,NA,KOD:12,NA,NA,NA,NA,NA,Lord,NA
Barmellin,Cairhienin,Farmer,NA,NA,NA,NA,Alive,NA,NA,NA,WH:35,NA,Male,NA,NA,WH:35,NA,NA,NA,NA,NA,NA,NA
Baroc,Atha'an Miere,NA,Atha'an Miere,NA,NA,NA,Dead,NA,1000 NE,Deep set,ACOS:13,NA,Male,"Balding, white",NA,ACOS:13,WH:16,NA,Master of the Blades,NA,NA,NA,NA
Barriga,Borderlander,Merchant,NA,NA,NA,NA,Dead,NA,1000 NE,NA,TOM:Epilogue,TOM:Prologue,Male,NA,NA,TOM:Epilogue,NA,NA,NA,NA,NA,NA,NA
Barrin,Seanchan,Deathwatch Guard,NA,NA,NA,NA,Alive,NA,NA,NA,AMOL:15,NA,Male,NA,NA,AMOL:15,NA,NA,NA,NA,NA,NA,NA
Barthanes Damodred,Cairhienin,NA,Darkfriend,NA,Slim,NA,Dead,NA,998 NE,NA,TGH:32,TGH:30,Male,NA,Tall,TGH:33,LOC:18,NA,NA,NA,NA,Lord,NA
Bartim,Andoran,Innkeeper,NA,NA,Fat,NA,Alive,NA,NA,NA,TEOTW:26,NA,Male,Balding,NA,TEOTW:26,NA,NA,NA,NA,NA,NA,NA
Bartol,Unknown nationality,Warder,White Tower,NA,NA,NA,Alive,NA,NA,NA,COT:23,LOC:52,Male,NA,NA,COT:23,NA,NA,NA,NA,NA,Gaidin,NA
Bartu,Shienaran,NA,Masema Dagar,NA,NA,NA,Dead,NA,1000 NE,NA,COT:7,TFOH:38,Male,Shaven bald,NA,COT:7,NA,NA,NA,NA,NA,NA,NA
Basan,Unknown nationality,Warder,White Tower,NA,NA,NA,Dead,NA,NA,NA,NA,LOC:43,Male,NA,NA,NA,LOC:43,NA,NA,NA,NA,Gaidin,NA
Basel Gill,Andoran,Shambayan,Morgase Trakand,NA,Plump,NA,Alive,NA,NA,NA,TEOTW:35,NA,Male,Balding,NA,TOM:4,TOM:44,NA,NA,NA,NA,NA,NA
Basram,Domani,Soldier,Lan Mandragoran,NA,Stocky,NA,Alive,NA,NA,NA,NS:1,NA,Male,NA,Short,NS:1,NA,NA,NA,NA,NA,NA,NA
