Book,Chapter,Character,Word Count,Percentage,pov_combined,flag
The Eye of the World,Ch3: The Peddler,Rand al'Thor,5.260,"1,70%",Rand al'Thor,1
The Eye of the World,Ch4: The Gleeman,Rand al'Thor,5.965,"1,92%",Rand al'Thor,1
The Eye of the World,Ch5: Winternight,Rand al'Thor,7.123,"2,30%",Rand al'Thor,1
The Eye of the World,Ch6: The Westwood,Rand al'Thor,3.411,"1,10%",Rand al'Thor,1
The Eye of the World,Ch7: Out of the Woods,Rand al'Thor,5.682,"1,83%",Rand al'Thor,1
The Eye of the World,Ch8: A Place of Safety,Rand al'Thor,5.934,"1,91%",Rand al'Thor,1
The Eye of the World,Ch9: Tellings of the Wheel,Rand al'Thor,6.933,"2,24%",Rand al'Thor,1
The Eye of the World,Ch10: Leavetaking,Rand al'Thor,4.048,"1,31%",Rand al'Thor,1
The Eye of the World,Ch11: The Road to Taren Ferry,Rand al'Thor,3.567,"1,15%",Rand al'Thor,1
The Eye of the World,Ch12: Across the Taren,Rand al'Thor,5.255,"1,69%",Rand al'Thor,1
The Eye of the World,Ch13: Choices,Rand al'Thor,7.308,"2,36%",Rand al'Thor,1
The Eye of the World,Ch14: The Stag and Lion,Rand al'Thor,5.890,"1,90%",Rand al'Thor,1
The Eye of the World,Ch15: Strangers and Friends,Rand al'Thor,9.061,"2,92%",Rand al'Thor,1
The Eye of the World,Ch16: The Wisdom,Rand al'Thor,4.246,"1,37%",Rand al'Thor,1
The Eye of the World,Ch17: Watchers and Hunters,Rand al'Thor,6.565,"2,12%",Rand al'Thor,1
The Eye of the World,Ch18: The Caemlyn Road,Rand al'Thor,5.529,"1,78%",Rand al'Thor,1
The Eye of the World,Ch19: Shadow's Waiting,Rand al'Thor,7.094,"2,29%",Rand al'Thor,1
The Eye of the World,Ch20: Dust on the Wind,Rand al'Thor,2.177,"0,70%",Rand al'Thor,
The Eye of the World,Ch20: Dust on the Wind,Perrin Aybara,1.469,"0,47%","Rand al'Thor,Perrin Aybara",
The Eye of the World,Ch20: Dust on the Wind,Rand al'Thor,3.977,"1,28%","Rand al'Thor,Perrin Aybara,Rand al'Thor",1
The Eye of the World,Ch21: Listen to the Wind,Nynaeve al'Meara,5.127,"1,65%",Nynaeve al'Meara,1
The Eye of the World,Ch22: A Path Chosen,Perrin Aybara,2.184,"0,70%",Perrin Aybara,1
The Eye of the World,Ch23: Wolfbrother,Perrin Aybara,5.822,"1,88%",Perrin Aybara,1
The Eye of the World,Ch24: Flight Down the Arinelle,Rand al'Thor,5.334,"1,72%",Rand al'Thor,1
The Eye of the World,Ch25: The Traveling People,Perrin Aybara,6.144,"1,98%",Perrin Aybara,1
The Eye of the World,Ch26: Whitebridge,Rand al'Thor,8.979,"2,89%",Rand al'Thor,1
The Eye of the World,Ch27: Shelter From the Storm,Perrin Aybara,4.918,"1,59%",Perrin Aybara,1
The Eye of the World,Ch28: Footprints in the Air,Nynaeve al'Meara,3.163,"1,02%",Nynaeve al'Meara,1
The Eye of the World,Ch29: Eyes Without Pity,Perrin Aybara,6.184,"1,99%",Perrin Aybara,1
The Eye of the World,Ch30: Children of Shadow,Perrin Aybara,6.407,"2,07%",Perrin Aybara,1
The Eye of the World,Ch31: Play for Your Supper,Rand al'Thor,4.545,"1,47%",Rand al'Thor,1
The Eye of the World,Ch32: Four Kings in Shadow,Rand al'Thor,7.977,"2,57%",Rand al'Thor,1
The Eye of the World,Ch33: The Dark Waits,Rand al'Thor,10.410,"3,36%",Rand al'Thor,1
The Eye of the World,Ch34: The Last Village,Rand al'Thor,5.931,"1,91%",Rand al'Thor,1
The Eye of the World,Ch35: Caemlyn,Rand al'Thor,5.354,"1,73%",Rand al'Thor,1
The Eye of the World,Ch36: Web of the Pattern,Rand al'Thor,5.726,"1,85%",Rand al'Thor,1
The Eye of the World,Ch37: The Long Chase,Nynaeve al'Meara,3.239,"1,04%",Nynaeve al'Meara,1
The Eye of the World,Ch38: Rescue,Perrin Aybara,5.934,"1,91%",Perrin Aybara,1
The Eye of the World,Ch39: Weaving of the Web,Rand al'Thor,4.472,"1,44%",Rand al'Thor,1
The Eye of the World,Ch40: The Web Tightens,Rand al'Thor,9.523,"3,07%",Rand al'Thor,1
The Eye of the World,Ch41: Old Friends and New Threats,Rand al'Thor,5.812,"1,87%",Rand al'Thor,1
The Eye of the World,Ch42: Remembrance of Dreams,Rand al'Thor,4.720,"1,52%",Rand al'Thor,1
The Eye of the World,Ch43: Decisions and Apparitions,Rand al'Thor,4.900,"1,58%",Rand al'Thor,1
The Eye of the World,Ch44: The Dark Along the Ways,Rand al'Thor,5.305,"1,71%",Rand al'Thor,1
The Eye of the World,Ch45: What Follows in Shadow,Rand al'Thor,5.563,"1,79%",Rand al'Thor,1
The Eye of the World,Ch46: Fal Dara,Rand al'Thor,6.748,"2,18%",Rand al'Thor,1
The Eye of the World,Ch47: More Tales of the Wheel,Rand al'Thor,5.169,"1,67%",Rand al'Thor,1
The Eye of the World,Ch48: The Blight,Rand al'Thor,4.586,"1,48%",Rand al'Thor,1
The Eye of the World,Ch49: The Dark One Stirs,Rand al'Thor,3.478,"1,12%",Rand al'Thor,1
The Eye of the World,Ch50: Meetings at the Eye,Rand al'Thor,4.544,"1,46%",Rand al'Thor,1
The Eye of the World,Ch51: Against the Shadow,Rand al'Thor,3.513,"1,13%",Rand al'Thor,1
The Eye of the World,Ch52: Neither Beginning Nor End,Rand al'Thor,3.878,"1,25%",Rand al'Thor,1
The Eye of the World,Ch53: The Wheel Turns,Rand al'Thor,3.204,"1,03%",Rand al'Thor,
The Eye of the World,Ch53: The Wheel Turns,Moiraine Damodred,124,"0,04%","Rand al'Thor,Moiraine Damodred",1
The Great Hunt,Prologue: In the Shadow,Quote,207,"0,08%",Quote,
The Great Hunt,Prologue: In the Shadow,Jaichim Carridin,5.313,"2,04%","Quote,Jaichim Carridin",1
The Great Hunt,Ch1: The Flame of Tar Valon,Rand al'Thor,4.202,"1,61%",Rand al'Thor,1
The Great Hunt,Ch2: The Welcome,Rand al'Thor,4.551,"1,75%",Rand al'Thor,1
The Great Hunt,Ch3: Friends And Enemies,Rand al'Thor,8.430,"3,24%",Rand al'Thor,1
The Great Hunt,Ch4: Summoned,Moiraine Damodred,6.437,"2,47%",Moiraine Damodred,1
The Great Hunt,Ch5: The Shadow in Shienar,Moiraine Damodred,3.869,"1,49%",Moiraine Damodred,
The Great Hunt,Ch5: The Shadow in Shienar,Geofram Bornhald,1.446,"0,56%","Moiraine Damodred,Geofram Bornhald",
The Great Hunt,Ch5: The Shadow in Shienar,Liandrin,2.222,"0,85%","Moiraine Damodred,Geofram Bornhald,Liandrin",
The Great Hunt,Ch5: The Shadow in Shienar,Padan Fain,171,"0,07%","Moiraine Damodred,Geofram Bornhald,Liandrin,Padan Fain",1
The Great Hunt,Ch6: Dark Prophecy,Rand al'Thor,7.265,"2,79%",Rand al'Thor,1
The Great Hunt,Ch7: Blood Calls Blood,Moiraine Damodred,3.558,"1,37%",Moiraine Damodred,
The Great Hunt,Ch7: Blood Calls Blood,Perrin Aybara,1.191,"0,46%","Moiraine Damodred,Perrin Aybara",
The Great Hunt,Ch7: Blood Calls Blood,Rand al'Thor,2.174,"0,84%","Moiraine Damodred,Perrin Aybara,Rand al'Thor",1
The Great Hunt,Ch8: The Dragon Reborn,Rand al'Thor,4.591,"1,76%",Rand al'Thor,
The Great Hunt,Ch8: The Dragon Reborn,Moiraine Damodred,156,"0,06%","Rand al'Thor,Moiraine Damodred",
The Great Hunt,Ch8: The Dragon Reborn,Nynaeve al'Meara,2.510,"0,96%","Rand al'Thor,Moiraine Damodred,Nynaeve al'Meara",
The Great Hunt,Ch8: The Dragon Reborn,Egwene al'Vere,2.312,"0,89%","Rand al'Thor,Moiraine Damodred,Nynaeve al'Meara,Egwene al'Vere",1
The Great Hunt,Ch9: Leavetakings,Rand al'Thor,4.102,"1,58%",Rand al'Thor,
The Great Hunt,Ch9: Leavetakings,Bayle Domon,4.052,"1,56%","Rand al'Thor,Bayle Domon",1
The Great Hunt,Ch10: The Hunt Begins,Rand al'Thor,8.585,"3,30%",Rand al'Thor,1
The Great Hunt,Ch11: Glimmers of the Pattern,Rand al'Thor,3.407,"1,31%",Rand al'Thor,
The Great Hunt,Ch11: Glimmers of the Pattern,Padan Fain,1.127,"0,43%","Rand al'Thor,Padan Fain",1
The Great Hunt,Ch12: Woven in the Pattern,Egwene al'Vere,5.898,"2,27%",Egwene al'Vere,1
The Great Hunt,Ch13: From Stone to Stone,Rand al'Thor,3.284,"1,26%",Rand al'Thor,1
The Great Hunt,Ch14: Wolf brother,Perrin Aybara,3.467,"1,33%",Perrin Aybara,1
The Great Hunt,Ch15: Kinslayer,Rand al'Thor,4.728,"1,82%",Rand al'Thor,1
The Great Hunt,Ch16: In the Mirror of Darkness,Rand al'Thor,6.407,"2,46%",Rand al'Thor,1
The Great Hunt,Ch17: Choices,Rand al'Thor,3.111,"1,19%",Rand al'Thor,1
The Great Hunt,Ch18: To the White Tower,Egwene al'Vere,4.665,"1,79%",Egwene al'Vere,1
The Great Hunt,Ch19: Beneath the Dagger,Rand al'Thor,5.238,"2,01%",Rand al'Thor,
The Great Hunt,Ch19: Beneath the Dagger,Padan Fain,258,"0,10%","Rand al'Thor,Padan Fain",1
The Great Hunt,Ch20: Saidin,Rand al'Thor,2.677,"1,03%",Rand al'Thor,1
The Great Hunt,Ch21: The Nine Rings,Rand al'Thor,4.394,"1,69%",Rand al'Thor,1
The Great Hunt,Ch22: Watchers,Moiraine Damodred,5.353,"2,06%",Moiraine Damodred,1
The Great Hunt,Ch23: The Testing,Nynaeve al'Meara,7.750,"2,98%",Nynaeve al'Meara,1
The Great Hunt,Ch24: New Friends and Old Enemies,Egwene al'Vere,4.221,"1,62%",Egwene al'Vere,
The Great Hunt,Ch24: New Friends and Old Enemies,Min Farshaw,192,"0,07%","Egwene al'Vere,Min Farshaw",1
The Great Hunt,Ch25: Cairhien,Rand al'Thor,4.584,"1,76%",Rand al'Thor,1
The Great Hunt,Ch26: Discord,Rand al'Thor,4.291,"1,65%",Rand al'Thor,
The Great Hunt,Ch26: Discord,Thomdril Merrilin,629,"0,24%","Rand al'Thor,Thomdril Merrilin",1
The Great Hunt,Ch27: The Shadow in the Night,Rand al'Thor,5.070,"1,95%",Rand al'Thor,1
The Great Hunt,Ch28: A New Thread in the Pattern,Perrin Aybara,2.690,"1,03%",Perrin Aybara,1
The Great Hunt,Ch29: Seanchan,Geofram Bornhald,1.582,"0,61%",Geofram Bornhald,
The Great Hunt,Ch29: Seanchan,Bayle Domon,5.600,"2,15%","Geofram Bornhald,Bayle Domon",1
The Great Hunt,Ch30: Daes Dae'mar,Rand al'Thor,4.507,"1,73%",Rand al'Thor,1
The Great Hunt,Ch31: On the Scent,Rand al'Thor,1.875,"0,72%",Rand al'Thor,
The Great Hunt,Ch31: On the Scent,Perrin Aybara,2.940,"1,13%","Rand al'Thor,Perrin Aybara",1
The Great Hunt,Ch32: Dangerous Words,Rand al'Thor,4.079,"1,57%",Rand al'Thor,1
The Great Hunt,Ch33: A Message From The Dark,Rand al'Thor,5.831,"2,24%",Rand al'Thor,1
The Great Hunt,Ch34: The Wheel Weaves,Thomdril Merrilin,2.121,"0,81%",Thomdril Merrilin,
The Great Hunt,Ch34: The Wheel Weaves,Padan Fain,3.916,"1,50%","Thomdril Merrilin,Padan Fain",1
The Great Hunt,Ch35: Stedding Tsofu,Rand al'Thor,4.872,"1,87%",Rand al'Thor,1
The Great Hunt,Ch36: Among the Elders,Rand al'Thor,3.494,"1,34%",Rand al'Thor,1
The Great Hunt,Ch37: What Might Be,Rand al'Thor,4.942,"1,90%",Rand al'Thor,1
The Great Hunt,Ch38: Practice,Egwene al'Vere,4.832,"1,86%",Egwene al'Vere,1
The Great Hunt,Ch39: Flight From the White Tower,Egwene al'Vere,5.278,"2,03%",Egwene al'Vere,1
The Great Hunt,Ch40: Damane,Egwene al'Vere,4.935,"1,90%",Egwene al'Vere,
The Great Hunt,Ch40: Damane,Nynaeve al'Meara,1.741,"0,67%","Egwene al'Vere,Nynaeve al'Meara",1
The Great Hunt,Ch41: Disagreements,Rand al'Thor,3.428,"1,32%",Rand al'Thor,1
The Great Hunt,Ch42: Falme,Nynaeve al'Meara,1.679,"0,64%",Nynaeve al'Meara,
The Great Hunt,Ch42: Falme,Egwene al'Vere,2.979,"1,14%","Nynaeve al'Meara,Egwene al'Vere",1
The Great Hunt,Ch43: A Plan,Min Farshaw,3.355,"1,29%",Min Farshaw,1
The Great Hunt,Ch44: Five Will Ride Forth,Perrin Aybara,1.092,"0,42%",Perrin Aybara,
The Great Hunt,Ch44: Five Will Ride Forth,Geofram Bornhald,1.084,"0,42%","Perrin Aybara,Geofram Bornhald",
The Great Hunt,Ch44: Five Will Ride Forth,Rand al'Thor,1.561,"0,60%","Perrin Aybara,Geofram Bornhald,Rand al'Thor",1
The Great Hunt,Ch45: Blademaster,Nynaeve al'Meara,2.563,"0,98%",Nynaeve al'Meara,
The Great Hunt,Ch45: Blademaster,Bayle Domon,178,"0,07%","Nynaeve al'Meara,Bayle Domon",
The Great Hunt,Ch45: Blademaster,Rand al'Thor,5.299,"2,04%","Nynaeve al'Meara,Bayle Domon,Rand al'Thor",1
The Great Hunt,Ch46: To Come Out of the Shadow,Nynaeve al'Meara,3.491,"1,34%",Nynaeve al'Meara,
The Great Hunt,Ch46: To Come Out of the Shadow,Bayle Domon,245,"0,09%","Nynaeve al'Meara,Bayle Domon",
The Great Hunt,Ch46: To Come Out of the Shadow,Geofram Bornhald,197,"0,08%","Nynaeve al'Meara,Bayle Domon,Geofram Bornhald",
The Great Hunt,Ch46: To Come Out of the Shadow,Rand al'Thor,1.157,"0,44%","Nynaeve al'Meara,Bayle Domon,Geofram Bornhald,Rand al'Thor",1
The Great Hunt,Ch47: The Grave Is No Bar to My Call,Rand al'Thor,1.129,"0,43%",Rand al'Thor,
The Great Hunt,Ch47: The Grave Is No Bar to My Call,Geofram Bornhald,217,"0,08%","Rand al'Thor,Geofram Bornhald",
The Great Hunt,Ch47: The Grave Is No Bar to My Call,Rand al'Thor,2.751,"1,06%","Rand al'Thor,Geofram Bornhald,Rand al'Thor",1
The Great Hunt,Ch48: First Claiming,Min Farshaw,1.830,"0,70%",Min Farshaw,
The Great Hunt,Ch48: First Claiming,Jaret Byar,122,"0,05%","Min Farshaw,Jaret Byar",1
The Great Hunt,Ch49: What Was Meant To Be,Rand al'Thor,2.381,"0,91%",Rand al'Thor,1
The Great Hunt,Ch50: After,Narrator,174,"0,07%",Narrator,
The Great Hunt,Ch50: After,Quote,111,"0,04%","Narrator,Quote",1
The Dragon Reborn,Prologue: Fortress of the Light,Quote,100,"0,04%",Quote,
The Dragon Reborn,Prologue: Fortress of the Light,Pedron Niall,5.530,"2,27%","Quote,Pedron Niall",
The Dragon Reborn,Prologue: Fortress of the Light,Jaichim Carridin,1.220,"0,50%","Quote,Pedron Niall,Jaichim Carridin",1
The Dragon Reborn,Ch1: Waiting,Perrin Aybara,4.112,"1,69%",Perrin Aybara,1
The Dragon Reborn,Ch2: Saidin,Perrin Aybara,4.741,"1,95%",Perrin Aybara,1
The Dragon Reborn,Ch3: News from the Plain,Perrin Aybara,3.529,"1,45%",Perrin Aybara,1
The Dragon Reborn,Ch4: Shadows Sleeping,Perrin Aybara,2.978,"1,22%",Perrin Aybara,1
The Dragon Reborn,Ch5: Nightmares Walking,Perrin Aybara,4.870,"2,00%",Perrin Aybara,1
The Dragon Reborn,Ch6: The Hunt Begins,Perrin Aybara,5.399,"2,22%",Perrin Aybara,1
The Dragon Reborn,Ch7: The Way Out of the Mountains,Perrin Aybara,2.124,"0,87%",Perrin Aybara,1
The Dragon Reborn,Ch8: Jarra,Perrin Aybara,5.512,"2,26%",Perrin Aybara,1
The Dragon Reborn,Ch9: Wolf Dreams,Perrin Aybara,2.255,"0,93%",Perrin Aybara,
The Dragon Reborn,Ch9: Wolf Dreams,Rand al'Thor,523,"0,21%","Perrin Aybara,Rand al'Thor",1
The Dragon Reborn,Ch10: Secrets,Egwene al'Vere,5.441,"2,23%",Egwene al'Vere,1
The Dragon Reborn,Ch11: Tar Valon,Egwene al'Vere,3.965,"1,63%",Egwene al'Vere,1
The Dragon Reborn,Ch12: The Amyrlin Seat,Siuan Sanche,2.088,"0,86%",Siuan Sanche,1
The Dragon Reborn,Ch13: Punishments,Egwene al'Vere,4.489,"1,84%",Egwene al'Vere,1
The Dragon Reborn,Ch14: The Bite of the Thorns,Egwene al'Vere,2.759,"1,13%",Egwene al'Vere,1
The Dragon Reborn,Ch15: The Gray Man,Egwene al'Vere,3.175,"1,30%",Egwene al'Vere,1
The Dragon Reborn,Ch16: Hunters Three,Egwene al'Vere,3.234,"1,33%",Egwene al'Vere,1
The Dragon Reborn,Ch17: The Red Sister,Egwene al'Vere,2.294,"0,94%",Egwene al'Vere,1
The Dragon Reborn,Ch18: Healing,Egwene al'Vere,2.341,"0,96%",Egwene al'Vere,1
The Dragon Reborn,Ch19: Awakening,Matrim Cauthon,2.761,"1,13%",Matrim Cauthon,1
The Dragon Reborn,Ch20: Visitations,Matrim Cauthon,4.737,"1,94%",Matrim Cauthon,1
The Dragon Reborn,Ch21: A World of Dreams,Egwene al'Vere,2.557,"1,05%",Egwene al'Vere,
The Dragon Reborn,Ch21: A World of Dreams,Verin Mathwin,221,"0,09%","Egwene al'Vere,Verin Mathwin",1
The Dragon Reborn,Ch22: The Price of the Ring,Egwene al'Vere,8.342,"3,42%",Egwene al'Vere,1
The Dragon Reborn,Ch23: Sealed,Egwene al'Vere,3.096,"1,27%",Egwene al'Vere,1
The Dragon Reborn,Ch24: Scouting and Discoveries,Matrim Cauthon,5.320,"2,18%",Matrim Cauthon,1
The Dragon Reborn,Ch25: Questions,Egwene al'Vere,4.015,"1,65%",Egwene al'Vere,1
The Dragon Reborn,Ch26: Behind a Lock,Egwene al'Vere,2.708,"1,11%",Egwene al'Vere,1
The Dragon Reborn,Ch27: Tel'aran'rhiod,Egwene al'Vere,5.580,"2,29%",Egwene al'Vere,1
The Dragon Reborn,Ch28: A Way Out,Matrim Cauthon,2.692,"1,11%",Matrim Cauthon,1
The Dragon Reborn,Ch29: A Trap To Spring,Nynaeve al'Meara,3.401,"1,40%",Nynaeve al'Meara,1
The Dragon Reborn,Ch30: The First Toss,Matrim Cauthon,4.191,"1,72%",Matrim Cauthon,1
The Dragon Reborn,Ch31: The Woman of Tanchico,Matrim Cauthon,2.683,"1,10%",Matrim Cauthon,1
The Dragon Reborn,Ch32: The First Ship,Matrim Cauthon,5.464,"2,24%",Matrim Cauthon,
The Dragon Reborn,Ch32: The First Ship,Rand al'Thor,598,"0,25%","Matrim Cauthon,Rand al'Thor",1
The Dragon Reborn,Ch33: Within the Weave,Perrin Aybara,4.454,"1,83%",Perrin Aybara,1
The Dragon Reborn,Ch34: A Different Dance,Perrin Aybara,4.158,"1,71%",Perrin Aybara,1
The Dragon Reborn,Ch35: The Falcon,Perrin Aybara,3.225,"1,32%",Perrin Aybara,1
The Dragon Reborn,Ch36: Daughter of the Night,Perrin Aybara,4.072,"1,67%",Perrin Aybara,
The Dragon Reborn,Ch36: Daughter of the Night,Rand al'Thor,788,"0,32%","Perrin Aybara,Rand al'Thor",1
The Dragon Reborn,Ch37: Fires in Cairhien,Egwene al'Vere,4.024,"1,65%",Egwene al'Vere,1
The Dragon Reborn,Ch38: Maidens of the Spear,Egwene al'Vere,3.672,"1,51%",Egwene al'Vere,1
The Dragon Reborn,Ch39: Threads in the Pattern,Egwene al'Vere,7.593,"3,12%",Egwene al'Vere,1
The Dragon Reborn,Ch40: A Hero in the Night,Matrim Cauthon,5.947,"2,44%",Matrim Cauthon,1
The Dragon Reborn,Ch41: A Hunter's Oath,Perrin Aybara,3.027,"1,24%",Perrin Aybara,1
The Dragon Reborn,Ch42: Easing the Badger,Perrin Aybara,5.636,"2,31%",Perrin Aybara,1
The Dragon Reborn,Ch43: Shadowbrothers,Perrin Aybara,2.878,"1,18%",Perrin Aybara,1
The Dragon Reborn,Ch44: Hunted,Perrin Aybara,3.136,"1,29%",Perrin Aybara,
The Dragon Reborn,Ch44: Hunted,Matrim Cauthon,1.801,"0,74%","Perrin Aybara,Matrim Cauthon",1
The Dragon Reborn,Ch45: Caemlyn,Matrim Cauthon,3.990,"1,64%",Matrim Cauthon,1
The Dragon Reborn,Ch46: A Message Out of the Shadow,Matrim Cauthon,4.159,"1,71%",Matrim Cauthon,1
The Dragon Reborn,Ch47: To Race the Shadow,Matrim Cauthon,2.955,"1,21%",Matrim Cauthon,1
The Dragon Reborn,Ch48: Following the Craft,Egwene al'Vere,6.193,"2,54%",Egwene al'Vere,1
The Dragon Reborn,Ch49: A Storm in Tear,Egwene al'Vere,2.341,"0,96%",Egwene al'Vere,
The Dragon Reborn,Ch49: A Storm in Tear,Matrim Cauthon,5.427,"2,23%","Egwene al'Vere,Matrim Cauthon",1
The Dragon Reborn,Ch50: The Hammer,Perrin Aybara,6.179,"2,54%",Perrin Aybara,1
The Dragon Reborn,Ch51: Bait for the Net,Nynaeve al'Meara,3.499,"1,44%",Nynaeve al'Meara,1
The Dragon Reborn,Ch52: In Search of a Remedy,Matrim Cauthon,2.662,"1,09%",Matrim Cauthon,1
The Dragon Reborn,Ch53: A Flow of the Spirit,Perrin Aybara,2.981,"1,22%",Perrin Aybara,1
The Dragon Reborn,Ch54: Into the Stone,Matrim Cauthon,3.813,"1,57%",Matrim Cauthon,
The Dragon Reborn,Ch54: Into the Stone,Rand al'Thor,139,"0,06%","Matrim Cauthon,Rand al'Thor",
The Dragon Reborn,Ch54: Into the Stone,Egwene al'Vere,1.934,"0,79%","Matrim Cauthon,Rand al'Thor,Egwene al'Vere",
The Dragon Reborn,Ch54: Into the Stone,Perrin Aybara,474,"0,19%","Matrim Cauthon,Rand al'Thor,Egwene al'Vere,Perrin Aybara",
The Dragon Reborn,Ch54: Into the Stone,Matrim Cauthon,973,"0,40%","Matrim Cauthon,Rand al'Thor,Egwene al'Vere,Perrin Aybara,Matrim Cauthon",1
The Dragon Reborn,Ch55: What Is Written in Prophecy,Rand al'Thor,2.213,"0,91%",Rand al'Thor,
The Dragon Reborn,Ch55: What Is Written in Prophecy,Egwene al'Vere,1.003,"0,41%","Rand al'Thor,Egwene al'Vere",
The Dragon Reborn,Ch55: What Is Written in Prophecy,Matrim Cauthon,1.882,"0,77%","Rand al'Thor,Egwene al'Vere,Matrim Cauthon",
The Dragon Reborn,Ch55: What Is Written in Prophecy,Perrin Aybara,740,"0,30%","Rand al'Thor,Egwene al'Vere,Matrim Cauthon,Perrin Aybara",
The Dragon Reborn,Ch55: What Is Written in Prophecy,Rand al'Thor,1.572,"0,65%","Rand al'Thor,Egwene al'Vere,Matrim Cauthon,Perrin Aybara,Rand al'Thor",1
The Dragon Reborn,Ch56: People of the Dragon,Narrator,126,"0,05%",Narrator,
The Dragon Reborn,Ch56: People of the Dragon,Matrim Cauthon,2.787,"1,14%","Narrator,Matrim Cauthon",
The Dragon Reborn,Ch56: People of the Dragon,Quote,76,"0,03%","Narrator,Matrim Cauthon,Quote",1
The Shadow Rising,Ch1: Seeds of Shadow,Quote,108,"0,03%",Quote,
The Shadow Rising,Ch1: Seeds of Shadow,Min Farshaw,9.837,"2,55%","Quote,Min Farshaw",
The Shadow Rising,Ch1: Seeds of Shadow,Elaida do Avriny a'Roihan,1.423,"0,37%","Quote,Min Farshaw,Elaida do Avriny a'Roihan",
The Shadow Rising,Ch1: Seeds of Shadow,Dain Bornhald,1.836,"0,48%","Quote,Min Farshaw,Elaida do Avriny a'Roihan,Dain Bornhald",
The Shadow Rising,Ch1: Seeds of Shadow,Suroth Sabelle Meldarath,2.668,"0,69%","Quote,Min Farshaw,Elaida do Avriny a'Roihan,Dain Bornhald,Suroth Sabelle Meldarath",1
The Shadow Rising,Ch2: Whirlpools in the Pattern,Perrin Aybara,4.376,"1,14%",Perrin Aybara,
The Shadow Rising,Ch2: Whirlpools in the Pattern,Matrim Cauthon,5.072,"1,32%","Perrin Aybara,Matrim Cauthon",
